City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,sodra sandby,56.5667,16.6167,8.92,95,100,2.78,SE,1712701239
278,jayapura,-2.5333,140.7,24.66,94,100,2.41,ID,1712701239
279,alexandroupoli,40.8475,25.8744,9.9,81,0,0.0,GR,1712701239
280,chegdomyn,51.1167,133.0167,-6.78,86,55,0.59,RU,1712701239
281,kenai,60.5544,-151.2583,1.16,79,100,11.32,US,1712701095
282,veraval,20.9,70.3667,25.4,70,14,5.45,IN,1712701045
283,namsos,64.4662,11.4957,6.03,70,100,4.12,NO,1712701240
284,jamestown,42.097,-79.2353,22.8,40,20,5.14,US,1712701045
285,lagunas,-5.2269,-75.6753,29.03,77,31,1.65,PE,1712701240
286,kaihua,23.3687,104.28,14.71,96,17,2.51,CN,1712701240
287,la gi,10.6667,107.7833,25.72,83,9,6.53,VN,1712701240
288,pemalang,-6.9,109.3667,25.54,83,97,2.22,ID,1712701240
289,gurupa,-1.405,-51.64,25.7,92,100,1.07,BR,1712701241
290,salahonda,2.1019,-78.7217,27.29,79,22,6.03,CO,1712701241
291,guarapari,-20.6667,-40.4975,26.61,88,99,2.84,BR,1712701241
292,poso,-1.3959,120.7524,25.37,81,92,1.54,ID,1712701241
293,choibalsan,48.0667,114.5,3.54,53,56,2.21,MN,1712701241
294,bei'an,24.5399,109.533,19.12,87,100,1.46,CN,1712701071
295,arenapolis,-14.4503,-56.8461,25.58,86,100,1.79,BR,1712701242
296,awjilah,29.1081,21.2869,17.26,49,37,4.07,LY,1712701242
297,amasra,41.7463,32.3863,10.05,90,0,1.96,TR,1712701242
298,lihue,21.9789,-159.3672,26.58,71,40,7.2,US,1712701242
299,howard springs,-12.497,131.047,23.95,73,88,2.7,AU,1712701242
300,matale,7.4721,80.6234,18.16,94,29,1.42,LK,1712701243
301,gering,41.8258,-103.6605,16.07,25,0,5.14,US,1712701243
302,kirensk,57.7853,108.1119,-13.35,99,70,0.89,RU,1712701243
303,pimenta bueno,-11.6725,-61.1936,25.99,91,100,1.83,BR,1712701178
304,happy valley-goose bay,53.3168,-60.3315,-1.83,46,75,7.2,CA,1712701226
305,salekhard,66.53,66.6019,-26.45,98,75,1.79,RU,1712701243
306,hamilton,39.1834,-84.5333,18.43,83,100,5.66,US,1712701030
307,puerto aysen,-45.4,-72.7,6.87,92,90,1.07,CL,1712701244
308,tindouf,27.6711,-8.1474,31.25,12,0,5.66,DZ,1712701244
309,itu,-23.2642,-47.2992,26.51,81,67,0.57,BR,1712701178
310,north bend,43.4065,-124.2243,18.32,82,40,6.17,US,1712701244
311,al hawatah,13.4167,34.6333,32.55,6,84,7.69,SD,1712701244
312,frenda,35.0654,1.0495,7.43,77,0,2.76,DZ,1712701244
313,grand falls-windsor,48.9332,-55.6649,-0.83,77,50,1.79,CA,1712701244
314,nicoya,10.1483,-85.452,32.45,50,100,2.67,CR,1712700977
315,kampot,10.6167,104.1833,29.03,80,57,2.95,KH,1712701245
316,saynshand,44.8824,110.1163,8.26,48,75,1.56,MN,1712701245
317,az zawr,29.4425,48.2747,25.57,76,33,8.62,KW,1712701245
318,praia da vitoria,38.7333,-27.0667,17.64,96,100,10.39,PT,1712700947
319,kukawa,12.9234,13.5606,29.77,28,84,4.49,NG,1712701245
320,dawson creek,55.7666,-120.2362,7.8,31,75,7.2,CA,1712701097
321,toliara,-23.35,43.6667,23.43,89,9,2.86,MG,1712701246
322,kas,36.2018,29.6377,17.17,64,29,1.9,TR,1712701246
323,kangding,30.0513,101.9603,6.65,72,11,2.37,CN,1712701246
324,lady frere,-31.7031,27.2329,13.13,83,100,5.81,ZA,1712701246
325,isheyevka,54.4167,48.2667,10.12,90,53,2.66,RU,1712701246
326,haparanda,65.8355,24.1368,1.03,94,100,3.11,SE,1712701246
327,andovoranto,-18.95,49.1,22.47,89,2,2.04,MG,1712701246
328,monrovia,6.3005,-10.7969,27.28,85,100,3.58,LR,1712701246
329,palopo,-2.9996,120.1921,24.88,91,100,0.79,ID,1712701247
330,bantogon,6.5333,124.0333,26.58,74,78,1.8,PH,1712701247
331,mountain home,43.133,-115.6912,16.9,42,40,4.12,US,1712701112
332,tippi,7.2,35.45,19.86,87,86,1.22,ET,1712701247
333,ar ruways,24.1103,52.7306,26.28,60,97,10.75,AE,1712701247
334,arraial do cabo,-22.9661,-42.0278,23.98,94,20,1.03,BR,1712701248
335,mount pearl,47.5166,-52.7813,-0.08,92,100,8.75,CA,1712701248
336,benguela,-12.5763,13.4055,24.97,84,81,1.69,AO,1712701248
337,saint-pierre,-21.3393,55.4781,23.82,78,0,2.57,RE,1712701064
338,liuhe,42.2401,125.7172,5.63,27,83,2.34,CN,1712701248
339,tucuma,-0.1833,-50.05,25.93,88,100,2.59,BR,1712701249
340,vorgashor,67.5833,63.95,-30.11,100,58,1.44,RU,1712701249
341,san nicolas guadalupe,19.6125,-100.0333,21.84,20,95,5.99,MX,1712701249
342,nouadhibou,20.931,-17.0347,19.99,68,0,10.8,MR,1712701249
